path	sha256	content_class	observed_declaration	normalized_spdx	license_references	module_license_metadata	source_origin	modification_status	patch_ids	redistribution_review_state	copyright_notices
drivers/innogpu/inno_math.h	840899b7e73dc69d766d0c017a0d1025080a098676e571c39935b427105d662b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_misc.c	c15c1d5c0b72d6a95dbf185b99015a4d57a1bb66eb0d465d982ac7f8a8262948	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_misc.h	0d1cce422a2b99844662373ced6e38a3c1b70b676fbcc979a52587b0c6618d70	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_mm.c	08815c7a7effffe4f7aec86c458892c4dfd175040e50b9189aaef06109c957cb	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_mm.h	acd584e26718f0a0c82e39349e38a328e0fe59e982d1a29f193ab2d04ae4b749	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_mtrr.c	43112ac879dfd62befcf77f41d902c068ec29f4a67e75f109b88d440f956bdb3	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_mtrr.h	67cb5b485fa99f1ec29ef90b40f6fbcabe70a00ccc1aa9b71274e2c451ea90ec	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_pci.c	6c2036193ae3785e3a0e20daa469cd524c663acade447f244c3b479967c42602	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_pci.h	a92e0e1dde4571da5913b07dcbfa8ed8ed36f4466bb6238ce722da1334ffa162	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_plat_dev.c	8b6d68fa4dcf310de4bf1a8dcd98c3741945978a1566340115eb2453ecb4f780	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_plat_dev.h	880100db6063cd76d22092bcb6522e19564bc9b46aeb4551b0ea43da467b3745	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_pm_runtime.c	bce3be0d8d02d04a174e844fe9dd58c3c5806651063701a9ceed50aee50dd50a	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_pm_runtime.h	e90f0dfce950ce4781f8c001142b944700f2435e5290aa6c428e17bc2a12ddab	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_srvkm.h	3fcb16b8ec570c8f095217c5da15cc4ad7198de5dae64d342f4d5ed22ff7f8db	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_task.c	b007dbfbba2d9b57cdec5a53d92b3df4fbfad3bb7c0deabe60c3c9cdce124900	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_task.h	900294d3a9a2a093268dff8e00f96627e829a14b8392a6ab94ec017bbf1cdedf	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_timer.c	5105b0718bf13b300457926e68b41b250ac0e012b8025ded2c0f0d6811b149f7	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_timer.h	0b7b37aeaec7e0b52bb69af9fb2b6b46e28978e1e66ad17efaf6de8bcd9c3b07	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_uaccess.c	0b3fb6d3f9cf05588c88118ac4e33a2470ba6bcd2746570168fc549dc67d6822	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_uaccess.h	f47ca298694f3a295b76f17c23484f656f03ca996b6d9e3bbd5dc43262c17a2f	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_uuid.c	5edfe94f6121ef2e505a6c72cbb303be4bfcca36cf0f480647c599e598645d5c	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_uuid.h	79d2f6bc5bf2b1934946d8a1d05d42ada34854917d14ba0551c58b81c928f5d6	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_waitqueue.c	728a71ec0a8229ce6b9159097e35e0323657691473cadaeadad1c12d8e377eeb	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_waitqueue.h	b1c3b6e9b073fac2d0e94d0431694ff817ac9f523244b22eb1cf268fb653058a	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/innogpu.h	5de354a8ebc3bca4f3c00e7fdf778c2a9d8029c2e5bb69b64394057d455f3623	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/innogpu_ion.h	9317007a7866dd7c398d0db43909c8a0314e793965bf9d56a67e1725310ea8bf	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright   Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innogpu/innogpu_pci_drv.c	dd2bad1ac32ef88cffa0fa121dd6201856399553deadc5a8f408358947276d6d	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	Dual MIT/GPL	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/innogpu_pci_drv.h	8549d14359ea689f1a4d0396aca386b6db1fa780eef290145a9a300860edcb23	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/ion_lma_heap.c	4f69ba9a5059af657d4d09f4bd16547b51c150aeeded138bdc1a9b7e7cecfe8c	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright   Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innogpu/ion_lma_heap.h	2a56d31412c99bfa35e49376142bda3fbb1d2b008285e81fa02b526725b3312b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright   Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innogpu/kernel_compat.c	112bff1cdd7b967bdc2c9cd91e02f90e6929f155e9273ee957fc805704f35f6b	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/kernel_compat.h	4446902b3ef83f3bb151eb7e7deac5e120ec43ddd6a0eb8d1bd86ad2c53f3643	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopmbus/Makefile	7e9b830693015facd291d83740bb47f56350697f5074fab8fa67d1c3a38232af	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopmbus/innopmbus_drv.c	aef656aa90f6af1c5eada1fdffd5ac9642d7fae16087242cdb3d37a0d0c1f4e2	bsd-lgpl-dual	BSD 3 clause and LGPL2.1 (dual license)	BSD-3-Clause OR LGPL-2.1-only	BSD-3-Clause.txt,LGPL-2.1-only.txt	Dual BSD/GPL	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	blocked-declaration-conflict	Copyright (C) Innosilicon Technology Ltd. All Rights Reserved | COPYRIGHT (C) 2020 CHIPS&MEDIA INC. ALL RIGHTS RESERVED
drivers/innopmbus/innopmbus_drv.h	788590521ea4ab1fecef0efa6c4acd455d13c5acf4116f8c78289c0c2d17bcfd	bsd-lgpl-dual	BSD 3 clause and LGPL2.1 (dual license)	BSD-3-Clause OR LGPL-2.1-only	BSD-3-Clause.txt,LGPL-2.1-only.txt	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (C) Innosilicon Technology Ltd. All Rights Reserved | COPYRIGHT (C) 2020 CHIPS&MEDIA INC. ALL RIGHTS RESERVED
drivers/innopower/Makefile	0465adbc18e3ad358059a2df501161fae9c12a32e545b95b2f57ad00403f1ba5	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_devfreq_gov.c	d029f8c32040ed2486577f56b325a7ea2bb09b57edf0b90c85cb95a44556d80a	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	blocked-unclassified	-
drivers/innopower/inno_devfreq_gov.h	5429934be007fd12df1b7149f6b3ac2d1a6c21dd65f7af7e0056afce568cc8d2	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_gs8601.c	894deb9e5b717a59c7d855f69701188c6a4589a1bb7b88de833ea18fdd4f5a70	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_input_event.c	6deddd2a01e1cd753f4ded4ca72fb0b15aac6df3af6c162ca02b8249193ca597	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_input_event.h	f1a64fd4bb6b449a481b38c5fd54ba886321d6028be759f36886cf9ccb0ed34e	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_is6608a.c	6cf05cf06470ea90aa66f89d28a1392153102dacf8866bec70e0bfe30e0936a2	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_mp2979a.c	59a8dd8c2ec576f13f5ed5dd4677c360d6618a77f68cf7f6ce15968b98fb432a	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_mpq8645p.c	8e67e4346e9ec5d6a46b3c047e90fd160253aa880892d2d8593d31d33bf81456	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_virture_chip.c	0fd7024bc3ce5e661246657eabaceb755307fa2043f53c1177438881f67b90d4	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/inno_xdpe12284.c	8d393ed5481090540ea7529cac445fe3035daeebff1c1f93b2fcab67fdb509cd	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/innopower.c	243f9ad62f2bba4c873c9fef3b97d036354d0fde50b1f5bf5793fe7cf2daba57	unclassified	no mechanically recognized declaration	NOASSERTION	-	Dual MIT/GPL	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/innopower.h	b4e17937ba45a4afe701b360f884b65106c10fd9674c73482628a50e3dd879bd	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/power_hw_info.c	274c7cab2610176c5a0b150a968c2eac8d7af65f63c4998e04640dd23b8f6f54	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innopower/power_hw_info.h	3c581cfb58c0542ef69e653870a1f1a8eca92018f50d0818f95229445308523d	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innosmmu/Makefile	558b33830c330ab7983256050841a771f5855138a5f4310f4c4581ba5ec209c7	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innosmmu/innosmmu_drv.c	93b5fc1203f1c0eb160b0a5576dc126ecd99bb6805825ff4518fa96c5f337076	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	Dual MIT/GPL	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innosmmu/innosmmu_drv.h	b50d2d4246fb901c9d018bd0197ea3ad61d0322e27722e8a0c5561c820c6d234	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innosrvkm/Makefile	3b5142bd936f6556e6ba6d59427b10be3beb14f1ed6afec1eecad1a633ccbc8e	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innosrvkm/config_kernel.mk	ed5ca3db8ead6637b1f0a5af38ee5557c516345f1c9f1ca216ef976bd651305f	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innosrvkm/event.c	2ff81cd7148cc787cf93abf7d0aeba26971e7bbe71d5a1f430715a26b18eeba1	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/g3_ne_hdmi.c	388b69f03a663d5a37492e6b99cd3e46e5af974e89e90e27142b7ceaf6b56b95	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	"Copyright		Copyright (c) Innosilicon Technology Ltd. All Rights Reserved"
drivers/innosrvkm/g3_pdp0_hw.c	d6d9b89abb8b3273e3cd461dbeea78da26c38a0276a4b14dffa21539643e9455	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	"Copyright		Copyright (c) Innosilicon Technology Ltd. All Rights Reserved"
drivers/innosrvkm/gen_g3_ne_hdmi.c	6c968d21cbb2e9e4ff0a700d8bb4a9dfb8b81370d875a88be5d5826f1401dd91	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	"Copyright		Copyright (c) Innosilicon Technology Ltd. All Rights Reserved"
drivers/innosrvkm/include/allocmem.h	2f2a830c330f4e18cc68a1ba42235d4c1c5538316839da0fabda88a233ca2469	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/cache_km.h	450c3f0c59ee2a7bffabb8bf6d133f2e60e36c09a0b7a7c6463d3496f47886d2	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/cache_ops.h	c8bcb3ddeec37afc6b6d75f7947bab37a915aa0dd1d71018e232e2d87785ad1b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_cache_bridge.h	90b27f67f7e8347273fd409ac3997ee35547a69c2b2a83fd633878a34ab1f0f3	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_cmm_bridge.h	12ce05142eb05987d816f671df771560a3890d6c36b94906300c889e175411ef	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_devicememhistory_bridge.h	90a1005b1e1cf090e40a2073f05b299b3d0510fb5a0d78274a6801cfa15c5260	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_di_bridge.h	1fe6f35115a3f72f6f7b16b754bf6fda255c5b9319532570198277a960a1eab5	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_dma_bridge.h	12efef1086ef55ab9fa81054a30129cfbe0fb21229a68714798b6262f11ad126	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_dmabuf_bridge.h	4c6c6c71648025aa6bfef01dbdc3619d87a3df47c64a233da7392dbe4b7256cf	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_htbuffer_bridge.h	7ea4fb95293e81ced19e3596c7d48f5fc9488be9401e8d8b198829b4a249b5d7	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_innogpu_bridge.h	6cd66533a83bec7757fbbf985e4fee980b1826f81e818afaa3a8c30e26bc3c62	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innosrvkm/include/common_mm_bridge.h	5656b0a7e87f50ec9eb41de8c6d8b3f3b5c1a2882a6317cd35786d60014e6c7d	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_mmextmem_bridge.h	ed770a97450e4ef67ab6c69ddcd5e5ece19a11ddd8402840bcd2f699b72f625e	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_pvrtl_bridge.h	3a760ed79dedc7f71422ffffb430e27ff09f6575aa930c312aa2ae4d646dfc2b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
drivers/innosrvkm/include/common_rgxcmp_bridge.h	7510fe6106c75e76098e2f427ffff3a710c8da6d4a05fe41576723587da4bb31	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Imagination Technologies Ltd. All Rights Reserved
