path	sha256	content_class	observed_declaration	normalized_spdx	license_references	module_license_metadata	source_origin	modification_status	patch_ids	redistribution_review_state	copyright_notices
drivers/innodma/pcie_dmac.h	d56aab7c4a2167b516b5591cee4fddede14391772d3b98ab9e65879e3417796e	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innodma/utils.h	4ab08b1f1bcc1d2a39817e2473ed54e06733872f132b71cebc2bbba9be2af17e	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innodma/virt_dma.c	3c910ce8abc71acfa1b0fc82311db57a0d78516591cb6a3af272f4ee8d988595	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innodma/virt_dma.h	b3480bdb1d181bcf84ef4e84d5a719471bb34876ec9ae3711ebde700c607a285	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/Makefile	7a28c1367d2e7d43bf70c470909e064a1f90d2db8b6e60ff5633a4a1a9843b11	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/compat_kernel6.h	79a5de5055a6b4796374265f9ee2170934d21ec8682c59c52cf13d436ad84360	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	blocked-unclassified	-
drivers/innogpu/fixup_alignment.h	e6a05d255bbc110a56aeede2a9202419f464e8fe375b0e31f172c622bebdef8b	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/fixup_pcie.h	a1ef94ccf5c6acf3625997549057b49b31cb8fdb854517e9dbe2806fc244df79	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/hal.h	1f2671955d4d4a961865db481514ca15c95cf2bed89bf339a533e33a5e2c0f47	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/hal_bind_numa.c	4c2bf6bd85b0265a94b17ab33cc3051f4e936ffdddffcd79270cb937622044cb	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/hal_bmc.h	ff823c4f9a81a169c1f208ecdfc3f9887cd69e0a09d0758215d9d7b48abd16e3	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/hal_dma.c	7dfba27ed8fdfa64b65563f89572f2f241346ddc85defb2f32ce76d751744c6c	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/hal_dma_errors.h	96759e541c81d1b8196a5fd21e7707f013ecce44f379926ac1a0cac9f660400e	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/hal_interface.c	ff5769b308ee79f3a79fddccfb79440a2f50e2930c5974583cf21d6c001756ee	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
